Digits,Time(s)
1,2.593e-05
101,0.00123062
201,0.00566533
301,0.0163067
401,0.0350458
501,0.0371139
601,0.10339
701,0.155521
801,0.220189
901,0.302053
1001,0.295166
1101,0.541524
1201,0.690263
1301,0.856676
1401,1.05915
1501,1.2574
1601,1.52371
1701,1.84104
1801,2.13309
1901,2.48677
2001,2.93523
2101,3.08829
2201,4.52374
2301,4.65788
2401,5.09188
2501,5.92502
2601,3.76348
2701,7.538
2801,8.44262
