Digits,Time(s)
1,3.9897e-05
101,0.00126367
201,0.00672706
301,0.016363
401,0.0354988
501,0.0378318
601,0.102985
701,0.154888
801,0.21802
901,0.291603
1001,0.379914
1101,0.532602
1201,0.670697
1301,0.840582
1401,1.02397
1501,0.896309
1601,1.47285
1701,1.78762
1801,2.06141
1901,2.48784
2001,2.79447
2101,2.99738
2201,3.79882
2301,4.30752
2401,4.7938
2501,5.45856
2601,4.10315
2701,7.61553
2801,8.56842
2901,9.72933
